line 663: unknown command: .str.split.
line 664: unknown command: .map.join.
line 665: unknown command:  sys:139"
Statistical profiling result from v8.log, (3681 ticks, 563 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
    563   15.3%

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
    545   14.8%   14.8%  Function: timeLibXmlJs.testLXJS.timeExecutions.testIterations /Users/chris/Documents/workspace_3.5/NodeHtmlParser/profile.js:48
    225    6.1%    6.1%  Function: Parser$parseTags /Users/chris/Documents/workspace_3.5/NodeHtmlParser/node-htmlparser.js:205
    110    3.0%    3.0%  Function: Parser$parseChunk /Users/chris/Documents/workspace_3.5/NodeHtmlParser/node-htmlparser.js:88
     91    2.5%    2.5%  LazyCompile: test native regexp.js:264
     81    2.2%    2.2%  Stub: RegExpExecStub
     73    2.0%    2.0%  LazyCompile: exec native regexp.js:186
     66    1.8%    1.8%  Stub: SubString
     66    1.8%    1.8%  LazyCompile: BuildResultFromMatchInfo native regexp.js:151
     54    1.5%    1.5%  RegExp: ^\\s*(\\/?)\\s*([^\\s\\/]+)
     52    1.4%    1.4%  LazyCompile: substring native string.js:707
     50    1.4%    1.4%  LazyCompile: split native string.js:587
     46    1.2%    1.2%  Stub: CEntry
     44    1.2%    1.2%  Function: DefaultHandler$writeTag /Users/chris/Documents/workspace_3.5/NodeHtmlParser/node-htmlparser.js:465
     42    1.1%    1.1%  Stub: Compare {1}
     38    1.0%    1.0%  LazyCompile: slice native string.js:552
     31    0.8%    0.8%  LazyCompile: indexOf native string.js:109
     29    0.8%    0.8%  RegExp: [\\<\\>]
     29    0.8%    0.8%  LazyCompile: SubString native string.js:214
     29    0.8%    0.8%  Function: DefaultHandler$handleElement /Users/chris/Documents/workspace_3.5/NodeHtmlParser/node-htmlparser.js:499
     28    0.8%    0.8%  Function: Parser$parseTagName /Users/chris/Documents/workspace_3.5/NodeHtmlParser/node-htmlparser.js:194
     26    0.7%    0.7%  Stub: Compare {2}
     26    0.7%    0.7%  Function: DefaultHandler$writeText /Users/chris/Documents/workspace_3.5/NodeHtmlParser/node-htmlparser.js:468
     20    0.5%    0.5%  KeyedLoadIC: A keyed load IC from the snapshot
     20    0.5%    0.5%  Function: Parser$writeHandler /Users/chris/Documents/workspace_3.5/NodeHtmlParser/node-htmlparser.js:384
     19    0.5%    0.5%  LazyCompile: STRING_ADD_LEFT native runtime.js:175
     19    0.5%    0.5%  Function: Parser$parseAttribs /Users/chris/Documents/workspace_3.5/NodeHtmlParser/node-htmlparser.js:165
     17    0.5%    0.5%  LazyCompile: EQUALS native runtime.js:54
     16    0.4%    0.4%  Stub: ToBoolean
     16    0.4%    0.4%  RegExp: ^\\s*(\\/?)\\s*([^\\s\\/]+) {1}
     15    0.4%    0.4%  RegExp: (^\\s+|\\s+$) {1}
     14    0.4%    0.4%  RegExp: (^\\s+|\\s+$)
     13    0.4%    0.4%  LazyCompile: StringReplaceRegExp native string.js:278
     12    0.3%    0.3%  LazyCompile: replace native string.js:236
     12    0.3%    0.3%  LazyCompile: charAt native string.js:64
     12    0.3%    0.3%  KeyedStoreIC: A keyed store IC from the snapshot
     10    0.3%    0.3%  RegExp: \\s
      9    0.2%    0.2%  Stub: StringAdd
      9    0.2%    0.2%  Stub: FastCloneShallowArray
      9    0.2%    0.2%  Function: DefaultHandler$_tagStack$last /Users/chris/Documents/workspace_3.5/NodeHtmlParser/node-htmlparser.js:456
      8    0.2%    0.2%  RegExp: \\s {1}
      7    0.2%    0.2%  Stub: Compare {3}
      7    0.2%    0.2%  LazyCompile: splitMatch native string.js:696
      4    0.1%    0.1%  Stub: Compare
      4    0.1%    0.1%  LazyCompile: DoRegExpExec native regexp.js:117
      3    0.1%    0.1%  Builtin: A builtin from the snapshot
      2    0.1%    0.1%  Stub: GenericBinaryOpStub_ADD_Alloc_RegArgs_UnknownType_Default
      1    0.0%    0.0%  Stub: ArgumentsAccess
      1    0.0%    0.0%  RegExp: ([^=<>\\ {1}
      1    0.0%    0.0%  RegExp: ([^=<>\\
      1    0.0%    0.0%  Function: DefaultHandler /Users/chris/Documents/workspace_3.5/NodeHtmlParser/node-htmlparser.js:415

 [C++]:
   ticks  total  nonlib   name
    214    5.8%    5.8%  _libinfoDSmig_Query_async
     74    2.0%    2.0%  v8::internal::String::ReadBlock
     63    1.7%    1.7%  v8::internal::JSObject::LocalLookupRealNamedProperty
     61    1.7%    1.7%  v8::internal::CallIC::UpdateCaches
     55    1.5%    1.5%  v8::internal::CallIC::LoadFunction
     53    1.4%    1.4%  v8::internal::Object::GetProperty
     53    1.4%    1.4%  v8::String::WriteUtf8
     52    1.4%    1.4%  v8::internal::CallIC_Miss
     46    1.2%    1.2%  v8::internal::JSObject::LocalLookup
     36    1.0%    1.0%  v8::internal::JSObject::LookupInDescriptor
     31    0.8%    0.8%  v8::internal::JSObject::Lookup
     26    0.7%    0.7%  v8::internal::Object::Lookup
     26    0.7%    0.7%  ___vfprintf
     25    0.7%    0.7%  v8::internal::String::Utf8Length
     25    0.7%    0.7%  v8::internal::Heap::AllocateRawFixedArray
     23    0.6%    0.6%  v8::internal::Heap::CopyJSObject
     23    0.6%    0.6%  __mh_dylib_header
     22    0.6%    0.6%  v8::internal::SharedStoreIC_ExtendStorage
     22    0.6%    0.6%  v8::internal::SetElement
     22    0.6%    0.6%  v8::internal::Runtime_CreateObjectLiteralShallow
     22    0.6%    0.6%  v8::internal::HashTable<v8::internal::StringDictionaryShape, v8::internal::String*>::FindEntry
     21    0.6%    0.6%  v8::internal::Runtime::StringMatch
     20    0.5%    0.5%  v8::internal::JSObject::SetFastElement
     19    0.5%    0.5%  v8::internal::IC::StateFrom
     19    0.5%    0.5%  v8::internal::Heap::AllocateSubString
     19    0.5%    0.5%  v8::internal::Heap::AllocateRawTwoByteString
     19    0.5%    0.5%  _asprintf
