shared-library,"/usr/local/bin/node",0x00002550,0x0020c7b6
shared-library,"/usr/lib/libssl.0.9.7.dylib",0x90b7d8c0,0x90b9df42
shared-library,"/usr/lib/libcrypto.0.9.7.dylib",0x9640e600,0x964a8c92
shared-library,"/usr/lib/libSystem.B.dylib",0x9728e0a0,0x973c26d0
shared-library,"/usr/lib/libstdc++.6.dylib",0x951b0fb4,0x951f8005
shared-library,"/usr/lib/libgcc_s.1.dylib",0x901b5780,0x901bc71e
shared-library,"/usr/lib/system/libmathCommon.A.dylib",0x976062b0,0x976071e7
profiler,"begin",1
tick,0x972e5c17,0xbfffed30,0x0,4
tick,0xffff07c2,0xbfffea70,0x0,4
tick,0x1ee853,0xbfffe690,0x0,4
code-creation,Builtin,0x599f20,91,"CpuFeatures::Probe"
code-creation,Stub,0x582100,126,"FastNewClosure"
code-creation,Stub,0x5821a0,516,"CEntry"
code-creation,Stub,0x582400,173,"NumberToString"
code-creation,Stub,0x5824c0,186,"GenericBinaryOp"
code-creation,Stub,0x5825a0,129,"FastNewContext"
code-creation,Stub,0x582640,364,"GenericBinaryOp"
code-creation,Stub,0x5827c0,1056,"StringAdd"
code-creation,Stub,0x582c20,175,"JSEntry"
code-creation,Stub,0x582d00,175,"JSEntry"
code-creation,Stub,0x582de0,429,"Compare"
code-creation,Stub,0x582fa0,69,"RecordWrite"
code-creation,Stub,0x583000,186,"GenericBinaryOp"
code-creation,Stub,0x5830e0,121,"GenericBinaryOp"
code-creation,Stub,0x583160,399,"Compare"
code-creation,Stub,0x583300,396,"Compare"
code-creation,Stub,0x5834a0,522,"Compare"
code-creation,Stub,0x5836c0,131,"CallFunction"
code-creation,Builtin,0x583760,140,"A builtin from the snapshot"
code-creation,Stub,0x583800,396,"Compare"
code-creation,Stub,0x5839a0,152,"ToBoolean"
code-creation,Stub,0x583a40,153,"FastCloneShallowArray"
code-creation,Stub,0x583b00,395,"GenericBinaryOp"
code-creation,Stub,0x583ca0,396,"GenericBinaryOp"
code-creation,Stub,0x583e40,128,"CallFunction"
code-creation,Stub,0x583ee0,131,"CallFunction"
code-creation,Stub,0x584100,131,"CallFunction"
code-creation,Stub,0x5841a0,454,"GenericBinaryOp"
code-creation,Stub,0x584380,147,"FastCloneShallowArray"
code-creation,Stub,0x584420,207,"StringCompare"
code-creation,Stub,0x584500,396,"Compare"
code-creation,Stub,0x5846a0,372,"GenericBinaryOp"
code-creation,Stub,0x584840,720,"CEntry"
code-creation,Stub,0x584b80,114,"ArgumentsAccess"
code-creation,Stub,0x584c00,186,"GenericBinaryOp"
code-creation,Stub,0x584ce0,529,"GenericBinaryOp"
code-creation,Stub,0x584f00,396,"Compare"
code-creation,Stub,0x5850a0,1099,"StringAdd"
code-creation,Stub,0x585520,51,"StackCheck"
code-creation,Stub,0x585560,126,"FastCloneShallowArray"
code-creation,Stub,0x585600,325,"GenericBinaryOp"
code-creation,Stub,0x585760,222,"ArgumentsAccess"
code-creation,Stub,0x585860,492,"Compare"
code-creation,Stub,0x585a60,138,"FastNewContext"
code-creation,Stub,0x585b00,67,"CallFunction"
code-creation,Stub,0x585b60,67,"CallFunction"
code-creation,CallIC,0x585bc0,163,"A call IC from the snapshot"
code-creation,CallIC,0x585c80,154,"A call IC from the snapshot"
code-creation,CallIC,0x585d40,154,"A call IC from the snapshot"
code-creation,Stub,0x585e00,67,"CallFunction"
code-creation,Stub,0x585e60,67,"CallFunction"
code-creation,CallIC,0x585ec0,163,"A call IC from the snapshot"
code-creation,Stub,0x586100,154,"CallFunction"
code-creation,CallIC,0x5861c0,154,"A call IC from the snapshot"
code-creation,CallIC,0x586280,154,"A call IC from the snapshot"
code-creation,CallIC,0x586340,154,"A call IC from the snapshot"
code-creation,CallIC,0x586400,154,"A call IC from the snapshot"
code-creation,CallIC,0x5864c0,154,"A call IC from the snapshot"
code-creation,Stub,0x586580,67,"CallFunction"
code-creation,CallIC,0x5865e0,154,"A call IC from the snapshot"
code-creation,CallIC,0x5866a0,154,"A call IC from the snapshot"
code-creation,CallIC,0x586760,154,"A call IC from the snapshot"
code-creation,CallIC,0x586820,154,"A call IC from the snapshot"
code-creation,Stub,0x5868e0,154,"CallFunction"
code-creation,CallIC,0x5869a0,154,"A call IC from the snapshot"
code-creation,CallIC,0x586a60,163,"A call IC from the snapshot"
code-creation,CallIC,0x586b20,154,"A call IC from the snapshot"
code-creation,CallIC,0x586be0,154,"A call IC from the snapshot"
code-creation,CallIC,0x586ca0,163,"A call IC from the snapshot"
code-creation,CallIC,0x586d60,163,"A call IC from the snapshot"
code-creation,CallIC,0x586e20,154,"A call IC from the snapshot"
code-creation,CallIC,0x586ee0,154,"A call IC from the snapshot"
code-creation,Stub,0x586fa0,67,"CallFunction"
code-creation,CallIC,0x587000,163,"A call IC from the snapshot"
code-creation,CallIC,0x5870c0,154,"A call IC from the snapshot"
code-creation,Stub,0x587180,154,"CallFunction"
code-creation,CallIC,0x587240,154,"A call IC from the snapshot"
code-creation,CallIC,0x587300,154,"A call IC from the snapshot"
code-creation,CallIC,0x5873c0,154,"A call IC from the snapshot"
code-creation,CallIC,0x587480,154,"A call IC from the snapshot"
code-creation,Stub,0x587540,67,"CallFunction"
code-creation,CallIC,0x5875a0,154,"A call IC from the snapshot"
code-creation,CallIC,0x587660,163,"A call IC from the snapshot"
code-creation,Stub,0x587720,67,"CallFunction"
code-creation,CallIC,0x587780,163,"A call IC from the snapshot"
code-creation,CallIC,0x587840,154,"A call IC from the snapshot"
code-creation,Builtin,0x587900,135,"A builtin from the snapshot"
